location_name,image_url,image_height,image_width,camera_id,latitude,longitude,md5,image_path
Kallang,https://images.data.gov.sg/api/traffic-images/2023/08/71ba371f-9444-4434-b294-eacc4f08683f.jpg,240,320,1001,1.29531332,103.871146,31a1c1e6dfa8b7d78a301e036c559e7e,images/2023/08/71ba371f-9444-4434-b294-eacc4f08683f.jpg
Geylang,https://images.data.gov.sg/api/traffic-images/2023/08/50f32e2a-f670-4180-8c9c-63bdcd947bd7.jpg,240,320,1002,1.319541067,103.8785627,03f324d64e49cf1e4d85aaeffe26abf3,images/2023/08/50f32e2a-f670-4180-8c9c-63bdcd947bd7.jpg
Geylang,https://images.data.gov.sg/api/traffic-images/2023/08/0cf8d732-7de7-482c-a168-188846dd26ca.jpg,240,320,1003,1.323957439,103.8728576,afd42907e58da2ad09ddff11a4ea50f5,images/2023/08/0cf8d732-7de7-482c-a168-188846dd26ca.jpg
Geylang,https://images.data.gov.sg/api/traffic-images/2023/08/cdd609aa-a2f7-4b9e-99b5-9eddc93b8da3.jpg,240,320,1004,1.319535712,103.8750668,e8d7a0885cd2908c50ccdf6e0c311bc2,images/2023/08/cdd609aa-a2f7-4b9e-99b5-9eddc93b8da3.jpg
Paya Lebar,https://images.data.gov.sg/api/traffic-images/2023/08/b19a2234-a32b-47aa-941f-f5cec6b1042d.jpg,240,320,1005,1.363519886,103.905394,855051cf27f61e8510608d9b2c6eedb0,images/2023/08/b19a2234-a32b-47aa-941f-f5cec6b1042d.jpg
Paya Lebar,https://images.data.gov.sg/api/traffic-images/2023/08/804614ee-597b-4486-be4a-b60e45ca62eb.jpg,240,320,1006,1.357098686,103.902042,749cbfbf43ae5a971076fcb4c054062a,images/2023/08/804614ee-597b-4486-be4a-b60e45ca62eb.jpg
Pasir Ris,https://images.data.gov.sg/api/traffic-images/2023/08/59779f73-f470-4d91-8401-b1f9ff5d64aa.jpg,1080,1920,1111,1.365434,103.953997,c0682fb17a355aa850dd2c2462a1687a,images/2023/08/59779f73-f470-4d91-8401-b1f9ff5d64aa.jpg
Pasir Ris,https://images.data.gov.sg/api/traffic-images/2023/08/75efd624-31d7-4eb3-b328-9c1743a7b3a7.jpg,1080,1920,1112,1.3605,103.961412,0a2119f49571b334b4fb590037163b39,images/2023/08/75efd624-31d7-4eb3-b328-9c1743a7b3a7.jpg
Changi,https://images.data.gov.sg/api/traffic-images/2023/08/4dfbb19f-662f-4021-87cb-4383f7599f5f.jpg,1080,1920,1113,1.317036,103.988598,7a0b74ed2cc1c39b5c612d6fdb82cb6c,images/2023/08/4dfbb19f-662f-4021-87cb-4383f7599f5f.jpg
City,https://images.data.gov.sg/api/traffic-images/2023/08/ae32b6d4-2059-4e84-8781-fd53be368932.jpg,240,320,1501,1.27414394350065,103.851316802547,c1c190115a2e0adf3cafd825bf7bc4de,images/2023/08/ae32b6d4-2059-4e84-8781-fd53be368932.jpg
City,https://images.data.gov.sg/api/traffic-images/2023/08/bc0e90d3-fd34-412f-ad2c-d986ebf11880.jpg,240,320,1502,1.27135090682664,103.861828440597,1315a128e3339e556fd4a77114df6b72,images/2023/08/bc0e90d3-fd34-412f-ad2c-d986ebf11880.jpg
City,https://images.data.gov.sg/api/traffic-images/2023/08/bbdc4aa1-5edf-4ea0-a601-354c35746cb3.jpg,240,320,1503,1.27066408655104,103.856977943394,1fe3a20a5492e372fdbe932ea387a992,images/2023/08/bbdc4aa1-5edf-4ea0-a601-354c35746cb3.jpg
Marine Parade,https://images.data.gov.sg/api/traffic-images/2023/08/8f34f060-2b7c-4fc0-941c-8af5ae83f724.jpg,240,320,1504,1.29409891409364,103.876056196568,6227177db24c4b647525c2440cb25349,images/2023/08/8f34f060-2b7c-4fc0-941c-8af5ae83f724.jpg
City,https://images.data.gov.sg/api/traffic-images/2023/08/0fa6d217-c944-4581-8afc-637e8ba455a6.jpg,240,320,1505,1.2752977149006,103.866390381759,9600f1160727ad62825575d7f91cde41,images/2023/08/0fa6d217-c944-4581-8afc-637e8ba455a6.jpg
Toa Payoh,https://images.data.gov.sg/api/traffic-images/2023/08/4ef81b07-78ad-478b-a226-fabb1912a08e.jpg,1080,1920,1701,1.323604823,103.8587802,1c5ad976bec6c27f3ca81d03b1ff6cf7,images/2023/08/4ef81b07-78ad-478b-a226-fabb1912a08e.jpg
Toa Payoh,https://images.data.gov.sg/api/traffic-images/2023/08/23ddb464-9b10-4991-844f-f84fa2b8161b.jpg,1080,1920,1702,1.34355015,103.8601984,73ae8f7ee815cfe16e72bdcec7197bfa,images/2023/08/23ddb464-9b10-4991-844f-f84fa2b8161b.jpg
Toa Payoh,https://images.data.gov.sg/api/traffic-images/2023/08/59ec3779-67d9-48cf-a7b3-b2bf676d9802.jpg,1080,1920,1703,1.32814722194857,103.862203282048,1b44c8ed4b95f2c6cf680b2590b0f4c9,images/2023/08/59ec3779-67d9-48cf-a7b3-b2bf676d9802.jpg
City,https://images.data.gov.sg/api/traffic-images/2023/08/53719ff8-7f88-413c-a11b-5a66ab8f06ed.jpg,1080,1920,1704,1.28569398886979,103.837524510188,46f720b96ced5c4248a2708a7c908e63,images/2023/08/53719ff8-7f88-413c-a11b-5a66ab8f06ed.jpg
Ang Mo Kio,https://images.data.gov.sg/api/traffic-images/2023/08/8597f44c-02fb-403b-b0be-7efa0cac89f7.jpg,1080,1920,1705,1.375925022,103.8587986,0bc540f06a4fdff75c8fb8d71508696c,images/2023/08/8597f44c-02fb-403b-b0be-7efa0cac89f7.jpg
Seletar,https://images.data.gov.sg/api/traffic-images/2023/08/d8790897-b30f-40b2-ad7a-31300ddc3dab.jpg,1080,1920,1706,1.38861,103.85806,24c32a5259f5184087de342af4227e63,images/2023/08/d8790897-b30f-40b2-ad7a-31300ddc3dab.jpg
Bukit Merah,https://images.data.gov.sg/api/traffic-images/2023/08/9704ad4d-0f2f-48ed-9ec7-a2abdcc8267f.jpg,1080,1920,1707,1.28036584335876,103.830451146503,c13374ff7a356c042fe7cce3d3dc61df,images/2023/08/9704ad4d-0f2f-48ed-9ec7-a2abdcc8267f.jpg
Kallang,https://images.data.gov.sg/api/traffic-images/2023/08/af1d6cc9-9ce2-4e81-bac7-b364bb1655ef.jpg,1080,1920,1709,1.31384231654635,103.845603032574,1cc51ff8a8fbf0eb9235c069a9046ea8,images/2023/08/af1d6cc9-9ce2-4e81-bac7-b364bb1655ef.jpg
Serangoon,https://images.data.gov.sg/api/traffic-images/2023/08/193332c2-a562-4ece-8b8d-e951facc26c6.jpg,1080,1920,1711,1.35296,103.85719,5d22d780fcd9ede8efe2312707b0c8e3,images/2023/08/193332c2-a562-4ece-8b8d-e951facc26c6.jpg
Woodlands,https://images.data.gov.sg/api/traffic-images/2023/08/0327ccba-4302-4c26-bc79-931dce7f2c52.jpg,1080,1920,2701,1.447023728,103.7716543,e1693df02360675fbc02e8b8e2b8b345,images/2023/08/0327ccba-4302-4c26-bc79-931dce7f2c52.jpg
Woodlands,https://images.data.gov.sg/api/traffic-images/2023/08/b5ec4ed7-15e8-488b-bc41-4775192bddb8.jpg,1080,1920,2702,1.445554109,103.7683397,3e800125e6fb0bc51d4f569803cc2140,images/2023/08/b5ec4ed7-15e8-488b-bc41-4775192bddb8.jpg
Bukit Panjang,https://images.data.gov.sg/api/traffic-images/2023/08/7644d306-9a6d-455d-a5a6-adbbe1358097.jpg,1080,1920,2703,1.35047790791386,103.791033581325,240e58c00656c23e6ee358e31a5ac7ff,images/2023/08/7644d306-9a6d-455d-a5a6-adbbe1358097.jpg
Woodlands,https://images.data.gov.sg/api/traffic-images/2023/08/f9108ebc-1db2-4f16-a2ca-ecfddbc8a6a1.jpg,1080,1920,2704,1.429588536,103.769311,af71af54e8386c76196305ba1688dd88,images/2023/08/f9108ebc-1db2-4f16-a2ca-ecfddbc8a6a1.jpg
Bukit Panjang,https://images.data.gov.sg/api/traffic-images/2023/08/7b471e36-2ef8-4892-9792-480f062d9a84.jpg,1080,1920,2705,1.36728572,103.7794698,01e12b503d4717ae2561ef972825e1cf,images/2023/08/7b471e36-2ef8-4892-9792-480f062d9a84.jpg
Sungei Kadut,https://images.data.gov.sg/api/traffic-images/2023/08/bb6992c0-df50-41b4-bdd2-fe0d5a668884.jpg,1080,1920,2706,1.414142,103.771168,f21669fc93018537b77ff5912f948889,images/2023/08/bb6992c0-df50-41b4-bdd2-fe0d5a668884.jpg
Sungei Kadut,https://images.data.gov.sg/api/traffic-images/2023/08/13bfa0a9-bfed-4323-845e-2c303e5db29c.jpg,1080,1920,2707,1.3983,103.774247,05dabd94d274a23fd4d8792979d26646,images/2023/08/13bfa0a9-bfed-4323-845e-2c303e5db29c.jpg
Bukit Panjang,https://images.data.gov.sg/api/traffic-images/2023/08/48391013-c4ef-4f7f-be9d-cf6f3b88f310.jpg,1080,1920,2708,1.3865,103.7747,35a52c01938f5b6b418d01bbe6a392f9,images/2023/08/48391013-c4ef-4f7f-be9d-cf6f3b88f310.jpg
Changi,https://images.data.gov.sg/api/traffic-images/2023/08/cf0c28a6-d714-4b57-aa54-8c0874dfad9d.jpg,1080,1920,3702,1.33831,103.98032,7d81f9bf9f469841e3e9d2e7eecc1fd9,images/2023/08/cf0c28a6-d714-4b57-aa54-8c0874dfad9d.jpg
Marine Parade,https://images.data.gov.sg/api/traffic-images/2023/08/d6cf75ad-1598-4f08-bcee-a8246d46b4ec.jpg,1080,1920,3704,1.2958550156561,103.880314665981,e98a51f850add4504109444dfa2e4ee7,images/2023/08/d6cf75ad-1598-4f08-bcee-a8246d46b4ec.jpg
Changi,https://images.data.gov.sg/api/traffic-images/2023/08/5cf38ab0-50d4-4f12-9ebc-a3986f66aaae.jpg,1080,1920,3705,1.32743,103.97383,e9e3561a144b0fa6183b29b99c8ec6a8,images/2023/08/5cf38ab0-50d4-4f12-9ebc-a3986f66aaae.jpg
Bedok,https://images.data.gov.sg/api/traffic-images/2023/08/a0cd18e4-2dcf-456e-a27e-4bd837871285.jpg,1080,1920,3793,1.309330837,103.9350504,452cebdc3c5f66a1c3142c84f2b5fab9,images/2023/08/a0cd18e4-2dcf-456e-a27e-4bd837871285.jpg
Marine Parade,https://images.data.gov.sg/api/traffic-images/2023/08/d1c3697a-ae5c-42d0-ad47-8963b6f0ddb8.jpg,1080,1920,3795,1.30145145166066,103.910596320237,1cc294431eadc80c54aa1912788e5fda,images/2023/08/d1c3697a-ae5c-42d0-ad47-8963b6f0ddb8.jpg
Marine Parade,https://images.data.gov.sg/api/traffic-images/2023/08/d0fbef76-6d33-4b00-b81d-1f10fa0e466e.jpg,1080,1920,3796,1.297512569,103.8983019,d20c0f1df3b17c50ad67905b01757d89,images/2023/08/d0fbef76-6d33-4b00-b81d-1f10fa0e466e.jpg
Marine Parade,https://images.data.gov.sg/api/traffic-images/2023/08/7b3e2f96-abf4-46ee-a975-b51e5fba2895.jpg,1080,1920,3797,1.29565733262976,103.885283049309,cd425cd45b95e44144fc4faaadaf6a60,images/2023/08/7b3e2f96-abf4-46ee-a975-b51e5fba2895.jpg
City,https://images.data.gov.sg/api/traffic-images/2023/08/bc7b043b-0124-4200-9a84-435ac5a10fd8.jpg,1080,1920,3798,1.29158484,103.8615987,0a9af6081904c8aa41c074b36fdaedfa,images/2023/08/bc7b043b-0124-4200-9a84-435ac5a10fd8.jpg
Queenstown,https://images.data.gov.sg/api/traffic-images/2023/08/c75d3259-fde0-41a9-96e0-d5e99dbe1b3d.jpg,1080,1920,4701,1.2871,103.79633,3976fe08aa0969524b6a1a7438e7f2a2,images/2023/08/c75d3259-fde0-41a9-96e0-d5e99dbe1b3d.jpg
Bukit Merah,https://images.data.gov.sg/api/traffic-images/2023/08/f3a83232-1f7e-4291-b859-038501803595.jpg,1080,1920,4702,1.27237,103.8324,50d0826f846575e23d70a4d9ef1e8e4a,images/2023/08/f3a83232-1f7e-4291-b859-038501803595.jpg
Jalan Bahar,https://images.data.gov.sg/api/traffic-images/2023/08/1c8ecc1f-0a95-4dec-9809-1d3b4dc6e893.jpg,360,640,4703,1.348697862,103.6350413,e41477f97d8ab717ac886eb5f411ecda,images/2023/08/1c8ecc1f-0a95-4dec-9809-1d3b4dc6e893.jpg
Bukit Merah,https://images.data.gov.sg/api/traffic-images/2023/08/97700f91-ab86-4252-9013-930445defee2.jpg,1080,1920,4704,1.27877,103.82375,516a753ccfff5d51c47921969ad1d1c0,images/2023/08/97700f91-ab86-4252-9013-930445defee2.jpg
Jurong East,https://images.data.gov.sg/api/traffic-images/2023/08/c07f39a3-b027-4046-960c-db250c3397f1.jpg,1080,1920,4705,1.32618,103.73028,8439cf285a032c6d0914f80dc4fd546c,images/2023/08/c07f39a3-b027-4046-960c-db250c3397f1.jpg
Queenstown,https://images.data.gov.sg/api/traffic-images/2023/08/2ad13fb2-5de0-45e5-8e84-a4fae7d6d654.jpg,1080,1920,4706,1.29792,103.78205,2343e417974ae382e56a3f205c2d8985,images/2023/08/2ad13fb2-5de0-45e5-8e84-a4fae7d6d654.jpg
Jalan Bahar,https://images.data.gov.sg/api/traffic-images/2023/08/002384c9-43b4-4290-96f4-bef2b908ec8d.jpg,1080,1920,4707,1.33344648135658,103.652700847056,b1a8ccfee34e0d51433ec63fd1bba427,images/2023/08/002384c9-43b4-4290-96f4-bef2b908ec8d.jpg
Queenstown,https://images.data.gov.sg/api/traffic-images/2023/08/32e814be-9b6f-4bcf-b5fa-99202f8423e1.jpg,1080,1920,4708,1.29939,103.7799,d88c1e134f5b532a981a163ed2fc7193,images/2023/08/32e814be-9b6f-4bcf-b5fa-99202f8423e1.jpg
Clementi,https://images.data.gov.sg/api/traffic-images/2023/08/402d1dba-503e-4c45-91c6-2c7b34c2d6eb.jpg,1080,1920,4709,1.312019,103.763002,066bc1c8851edf16e792a49bd714eac0,images/2023/08/402d1dba-503e-4c45-91c6-2c7b34c2d6eb.jpg
Clementi,https://images.data.gov.sg/api/traffic-images/2023/08/96b94746-5acb-4214-95d7-621fcda08422.jpg,1080,1920,4710,1.32153,103.75273,22c998627811cd455b435818a2571219,images/2023/08/96b94746-5acb-4214-95d7-621fcda08422.jpg
Jalan Bahar,https://images.data.gov.sg/api/traffic-images/2023/08/50f09bbe-ffa4-459e-ba7c-7f1118ae3bf7.jpg,1080,1920,4712,1.341244001,103.6439134,95b91ecee328358437e84c9f2a2b1b2d,images/2023/08/50f09bbe-ffa4-459e-ba7c-7f1118ae3bf7.jpg
Jalan Bahar,https://images.data.gov.sg/api/traffic-images/2023/08/ceb7f6d5-6ff3-4d18-8cc1-dc73ad6e7d0b.jpg,1080,1920,4713,1.347645829,103.6366955,994b45dedec47ca70b4e97655e6bf267,images/2023/08/ceb7f6d5-6ff3-4d18-8cc1-dc73ad6e7d0b.jpg
Clementi,https://images.data.gov.sg/api/traffic-images/2023/08/953457d8-ce12-4c6d-a7c7-0c7cf567337f.jpg,1080,1920,4714,1.31023,103.76438,5204093b1e9c9c8d8b29278e231ef0d5,images/2023/08/953457d8-ce12-4c6d-a7c7-0c7cf567337f.jpg
Pioneer,https://images.data.gov.sg/api/traffic-images/2023/08/b711ff27-7a82-4ddf-b5ee-d59e6c215e12.jpg,1080,1920,4716,1.32227,103.67453,d587f0ad62f91d0c7397af5fa65fb845,images/2023/08/b711ff27-7a82-4ddf-b5ee-d59e6c215e12.jpg
Bukit Merah,https://images.data.gov.sg/api/traffic-images/2023/08/ae1a2b0e-08f3-4154-8952-c3f9c7d937fa.jpg,1080,1920,4798,1.25999999687243,103.823611110166,3ecc7acc94020dd73c2e71153b950e75,images/2023/08/ae1a2b0e-08f3-4154-8952-c3f9c7d937fa.jpg
Bukit Merah,https://images.data.gov.sg/api/traffic-images/2023/08/1555e0b6-1715-4fc9-a819-7251ba97cb13.jpg,1080,1920,4799,1.26027777363278,103.823888890049,a7784a9aac2589bed9b083bf3d3ac96a,images/2023/08/1555e0b6-1715-4fc9-a819-7251ba97cb13.jpg
Bedok,https://images.data.gov.sg/api/traffic-images/2023/08/a0539e88-0435-4a47-ac39-156906abb823.jpg,1080,1920,5794,1.3309693,103.9168616,7b4c860cc1d85141e28014ee596e7f39,images/2023/08/a0539e88-0435-4a47-ac39-156906abb823.jpg
Bedok,https://images.data.gov.sg/api/traffic-images/2023/08/1dd4016a-c049-4406-a0e3-c6baa6719810.jpg,1080,1920,5795,1.326024822,103.905625,20528c9a581a65d65cbafa38bd01583c,images/2023/08/1dd4016a-c049-4406-a0e3-c6baa6719810.jpg
Geylang,https://images.data.gov.sg/api/traffic-images/2023/08/b884e1b3-8142-46f6-972c-d2ca4b1e13de.jpg,1080,1920,5797,1.322875288,103.8910793,e8a06ab33f82cde880d29313666010d2,images/2023/08/b884e1b3-8142-46f6-972c-d2ca4b1e13de.jpg
Geylang,https://images.data.gov.sg/api/traffic-images/2023/08/e0173e69-934a-4105-aefd-5da2de20106d.jpg,1080,1920,5798,1.32036078126842,103.877174116489,1102a87557e376872428d07b2c27e933,images/2023/08/e0173e69-934a-4105-aefd-5da2de20106d.jpg
Toa Payoh,https://images.data.gov.sg/api/traffic-images/2023/08/9cbe6fb5-3d7c-4a08-9ff7-581c99edb65e.jpg,1080,1920,5799,1.328171608,103.8685191,ade0ec40a804c8231c3fe069549eb465,images/2023/08/9cbe6fb5-3d7c-4a08-9ff7-581c99edb65e.jpg
Toa Payoh,https://images.data.gov.sg/api/traffic-images/2023/08/f07a4408-1c75-4e44-b33b-cfe19cea7b59.jpg,1080,1920,6701,1.329334,103.858222,be4900684601b5494be0fd5da607282a,images/2023/08/f07a4408-1c75-4e44-b33b-cfe19cea7b59.jpg
Novena,https://images.data.gov.sg/api/traffic-images/2023/08/012fcf63-4110-4433-a2ff-47106beb5ddf.jpg,1080,1920,6703,1.328899,103.84121,6da39c7c0e168e9d9cbb858661d7aa8a,images/2023/08/012fcf63-4110-4433-a2ff-47106beb5ddf.jpg
Novena,https://images.data.gov.sg/api/traffic-images/2023/08/9df6dc7f-9523-435f-94ad-306479af62af.jpg,1080,1920,6704,1.32657403632366,103.826857295633,a1f743c5af7c04676e2939191a99439e,images/2023/08/9df6dc7f-9523-435f-94ad-306479af62af.jpg
Novena,https://images.data.gov.sg/api/traffic-images/2023/08/52038f7d-2edc-4356-9419-ff031e14e479.jpg,1080,1920,6705,1.332124,103.81768,bf0020e5360a3c079e256725acde95c5,images/2023/08/52038f7d-2edc-4356-9419-ff031e14e479.jpg
Bukit Timah,https://images.data.gov.sg/api/traffic-images/2023/08/e69180a6-711a-47ff-a393-61d72e2c52ee.jpg,1080,1920,6706,1.349428893,103.7952799,cc59e71750e073612b1df25ab075b094,images/2023/08/e69180a6-711a-47ff-a393-61d72e2c52ee.jpg
Jurong West,https://images.data.gov.sg/api/traffic-images/2023/08/2647a174-a4da-475d-b446-1a8323c79ec8.jpg,1080,1920,6708,1.345996,103.69016,5c457143ec67eb356f3fc89c7eba34b8,images/2023/08/2647a174-a4da-475d-b446-1a8323c79ec8.jpg
Bukit Timah,https://images.data.gov.sg/api/traffic-images/2023/08/00b8b8fc-67f0-465a-aa5c-be9154d23ebf.jpg,1080,1920,6710,1.344205,103.78577,a134aaf4535cbf726dcd09eb3ef46b31,images/2023/08/00b8b8fc-67f0-465a-aa5c-be9154d23ebf.jpg
Changi,https://images.data.gov.sg/api/traffic-images/2023/08/1eae4b85-eb44-4679-9dd7-acd5b82c1cdf.jpg,1080,1920,6711,1.33771,103.977827,c9f3959caee3e4358310db0b693baec0,images/2023/08/1eae4b85-eb44-4679-9dd7-acd5b82c1cdf.jpg
Clementi,https://images.data.gov.sg/api/traffic-images/2023/08/70d437fd-0554-4cf8-a2a0-8cc89128f71f.jpg,1080,1920,6712,1.332691,103.770278,46f57f8f45e863279f2917d2259305e6,images/2023/08/70d437fd-0554-4cf8-a2a0-8cc89128f71f.jpg
Tampines,https://images.data.gov.sg/api/traffic-images/2023/08/0fc83dd5-b0a2-4e9d-a442-ab0dc4100f18.jpg,1080,1920,6713,1.340298,103.945652,632453a2df2594fa66c1dd32c5749c9b,images/2023/08/0fc83dd5-b0a2-4e9d-a442-ab0dc4100f18.jpg
Tengah,https://images.data.gov.sg/api/traffic-images/2023/08/a169f9c3-e60f-44f2-9e95-958da078ebf1.jpg,1080,1920,6714,1.361742,103.703341,e05de832301e80c041129a8ce2f9dc85,images/2023/08/a169f9c3-e60f-44f2-9e95-958da078ebf1.jpg
Tengah,https://images.data.gov.sg/api/traffic-images/2023/08/2325662f-a00f-4675-9c4e-4b1e98a038e0.jpg,1080,1920,6715,1.356299,103.716071,2e754ca15615ad20e72da6fae895bc2f,images/2023/08/2325662f-a00f-4675-9c4e-4b1e98a038e0.jpg
Pioneer,https://images.data.gov.sg/api/traffic-images/2023/08/85454460-8f80-449c-8787-d3f7226edbb5.jpg,1080,1920,6716,1.322893,103.6635051,5290120ed70cf57dcc88d0345bd44550,images/2023/08/85454460-8f80-449c-8787-d3f7226edbb5.jpg
Tampines,https://images.data.gov.sg/api/traffic-images/2023/08/86554a8a-1238-42eb-9d29-9fab37a12f6d.jpg,1080,1920,7791,1.354245,103.963782,25a3757164dcf84f9c84dfed14dcd421,images/2023/08/86554a8a-1238-42eb-9d29-9fab37a12f6d.jpg
Pasir Ris,https://images.data.gov.sg/api/traffic-images/2023/08/682abf58-1fe4-4fb7-b990-013540b0f3bd.jpg,1080,1920,7793,1.37704704,103.92946983,c4dbf116848dbae1e366847041ae3c1a,images/2023/08/682abf58-1fe4-4fb7-b990-013540b0f3bd.jpg
Paya Lebar,https://images.data.gov.sg/api/traffic-images/2023/08/f7b69bfc-d32a-4f2d-9698-c6e081434dcb.jpg,1080,1920,7794,1.37988658,103.92009174,8258083119f7d51d9cfdb52b18c5a64d,images/2023/08/f7b69bfc-d32a-4f2d-9698-c6e081434dcb.jpg
Punggol,https://images.data.gov.sg/api/traffic-images/2023/08/04849eb6-2ccd-483b-9e63-50f559eb67d7.jpg,1080,1920,7795,1.38432741,103.91585701,1e8d04449909c0e4788925db6575ef46,images/2023/08/04849eb6-2ccd-483b-9e63-50f559eb67d7.jpg
Punggol,https://images.data.gov.sg/api/traffic-images/2023/08/991d051c-cdae-4b12-8082-42f63f2a4f35.jpg,1080,1920,7796,1.39559294,103.90515712,e34d578582f10da2ee552710f77db99b,images/2023/08/991d051c-cdae-4b12-8082-42f63f2a4f35.jpg
Seletar,https://images.data.gov.sg/api/traffic-images/2023/08/ab0733ef-e031-4d9c-85c2-71b1019cbd57.jpg,1080,1920,7797,1.40002575,103.85702534,11d199623a304efc8f21e6170fa3e37b,images/2023/08/ab0733ef-e031-4d9c-85c2-71b1019cbd57.jpg
Seletar,https://images.data.gov.sg/api/traffic-images/2023/08/61c7a739-c516-4481-95ab-7a0463db4c29.jpg,1080,1920,7798,1.39748842,103.85400467,5f51b4616295ca24921d12250a4606cb,images/2023/08/61c7a739-c516-4481-95ab-7a0463db4c29.jpg
Choa Chu Kang,https://images.data.gov.sg/api/traffic-images/2023/08/3bee07e7-cecf-4ecd-b197-ea22d08cc988.jpg,1080,1920,8701,1.38647,103.74143,ddb94ad5bcb8ea923183506985a484c0,images/2023/08/3bee07e7-cecf-4ecd-b197-ea22d08cc988.jpg
Sungei Kadut,https://images.data.gov.sg/api/traffic-images/2023/08/4f01fe16-bcce-4473-a3f3-898e7308877c.jpg,1080,1920,8702,1.39059,103.7717,a5bb95d7398c519879b046970a4ea2f3,images/2023/08/4f01fe16-bcce-4473-a3f3-898e7308877c.jpg
Choa Chu Kang,https://images.data.gov.sg/api/traffic-images/2023/08/09b70c10-bbc3-4d64-8a2d-cd2402a148e0.jpg,1080,1920,8704,1.3899,103.74843,8eed4878a4c0b5f2487ff6be3d9a5a2b,images/2023/08/09b70c10-bbc3-4d64-8a2d-cd2402a148e0.jpg
Tengah,https://images.data.gov.sg/api/traffic-images/2023/08/30574e97-6df4-4050-a439-919df1130598.jpg,1080,1920,8706,1.3664,103.70899,b61f0e925de0fd14de4dada15a214f16,images/2023/08/30574e97-6df4-4050-a439-919df1130598.jpg
Ang Mo Kio,https://images.data.gov.sg/api/traffic-images/2023/08/90e8d4a2-6cb4-4664-ad38-4db32bc16728.jpg,1080,1920,9701,1.39466333,103.83474601,d3d806c5234997c3baddc491a2f50cd3,images/2023/08/90e8d4a2-6cb4-4664-ad38-4db32bc16728.jpg
Central Water Catchment,https://images.data.gov.sg/api/traffic-images/2023/08/86e9db72-3254-49ae-9964-e966662f2454.jpg,1080,1920,9702,1.39474081,103.81797086,a2fc1ccf4cecf0c8749b2ae0e28f76db,images/2023/08/86e9db72-3254-49ae-9964-e966662f2454.jpg
Woodlands,https://images.data.gov.sg/api/traffic-images/2023/08/798908d8-1eeb-4158-8b70-6182ffeb4591.jpg,1080,1920,9703,1.422857,103.773005,379946fc043b65d1cf11ac17bab9576e,images/2023/08/798908d8-1eeb-4158-8b70-6182ffeb4591.jpg
Woodlands,https://images.data.gov.sg/api/traffic-images/2023/08/c9a474b6-04e9-4bab-a0ee-717a8d0e273a.jpg,1080,1920,9704,1.42214311,103.79542062,7679a3c02c7259fde2d2807efd633fae,images/2023/08/c9a474b6-04e9-4bab-a0ee-717a8d0e273a.jpg
Woodlands,https://images.data.gov.sg/api/traffic-images/2023/08/1ef9e302-7e2b-4f88-9063-33595367a4ca.jpg,1080,1920,9705,1.42627712,103.78716637,285924fddf16d463ae0a2b219d3987ba,images/2023/08/1ef9e302-7e2b-4f88-9063-33595367a4ca.jpg
Mandai,https://images.data.gov.sg/api/traffic-images/2023/08/1c2e3e46-777d-4562-ae29-4413c8475558.jpg,1080,1920,9706,1.41270056,103.80642712,345b8b12bcfbe7661fa89e0f80ebfc9a,images/2023/08/1c2e3e46-777d-4562-ae29-4413c8475558.jpg
